tag,scenario,mode,vision_only,audio_backend,rep,rc,seconds,started_iso,out_path
mas-nocoord-r1,abandoned_object_01,mas-nocoord,False,auto,1,0,90.6,2026-08-18T16:29:25,results/run_abandoned_object_01_mas-nocoord-r1.json
mas-nocoord-r2,abandoned_object_01,mas-nocoord,False,auto,2,0,94.1,2026-08-18T16:30:55,results/run_abandoned_object_01_mas-nocoord-r2.json
mas-nocoord-r3,abandoned_object_01,mas-nocoord,False,auto,3,0,91.9,2026-08-18T16:32:30,results/run_abandoned_object_01_mas-nocoord-r3.json
mas-nocoord-r4,abandoned_object_01,mas-nocoord,False,auto,4,0,91.0,2026-08-18T16:34:01,results/run_abandoned_object_01_mas-nocoord-r4.json
centralized-r1,abandoned_object_01,centralized,False,auto,1,0,91.1,2026-08-18T16:35:32,results/run_abandoned_object_01_centralized-r1.json
centralized-r2,abandoned_object_01,centralized,False,auto,2,0,91.8,2026-08-18T16:37:04,results/run_abandoned_object_01_centralized-r2.json
centralized-r3,abandoned_object_01,centralized,False,auto,3,0,92.3,2026-08-18T16:38:35,results/run_abandoned_object_01_centralized-r3.json
centralized-r4,abandoned_object_01,centralized,False,auto,4,0,93.9,2026-08-18T16:40:08,results/run_abandoned_object_01_centralized-r4.json
mas-auction-r1,audio_alarm_clock_01,mas-auction,False,auto,1,0,46.6,2026-08-18T16:41:42,results/run_audio_alarm_clock_01_mas-auction-r1.json
mas-auction-r2,audio_alarm_clock_01,mas-auction,False,auto,2,0,45.8,2026-08-18T16:42:28,results/run_audio_alarm_clock_01_mas-auction-r2.json
mas-auction-r3,audio_alarm_clock_01,mas-auction,False,auto,3,0,45.9,2026-08-18T16:43:14,results/run_audio_alarm_clock_01_mas-auction-r3.json
mas-auction-r4,audio_alarm_clock_01,mas-auction,False,auto,4,0,45.0,2026-08-18T16:44:00,results/run_audio_alarm_clock_01_mas-auction-r4.json
mas-auction-visiononly-r1,audio_alarm_clock_01,mas-auction,True,auto,1,0,8.4,2026-08-18T16:44:45,results/run_audio_alarm_clock_01_mas-auction-visiononly-r1.json
mas-auction-visiononly-r2,audio_alarm_clock_01,mas-auction,True,auto,2,0,8.4,2026-08-18T16:44:53,results/run_audio_alarm_clock_01_mas-auction-visiononly-r2.json
mas-auction-visiononly-r3,audio_alarm_clock_01,mas-auction,True,auto,3,0,8.4,2026-08-18T16:45:02,results/run_audio_alarm_clock_01_mas-auction-visiononly-r3.json
