scenario,mode,audio_backend,n_reps,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mean_time_to_alert_s_mean,mean_time_to_alert_s_std,false_alerts_per_hour_mean,false_alerts_per_hour_std,coord_messages_mean,coord_messages_std,mean_allocation_ms_mean,mean_allocation_ms_std,wall_seconds_mean,wall_seconds_std
audio_glass_break_01,mas-auction,auto,5,0.8,0.447,0.8,0.447,0.8,0.447,9.075,0.31,24.92,55.723,1,0.0,,,26.84,1.152
audio_glass_break_01,mas-auction,dsp,3,0.0,0.0,0.0,0.0,0.0,0.0,,,132.767,0.115,0,0.0,,,27.1,0.0
audio_glass_break_01,mas-auction-visiononly,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,8.0,0.0
audio_glass_break_01,mas-nocoord,auto,5,0.8,0.447,0.8,0.447,0.8,0.447,8.213,0.349,24.86,55.589,0,0.0,,,26.84,1.207
audio_glass_break_01,mas-nocoord,dsp,3,0.0,0.0,0.0,0.0,0.0,0.0,,,132.133,0.987,0,0.0,,,27.233,0.231
audio_glass_break_01,mas-nocoord-visiononly,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,8.0,0.0
audio_glass_break_01,mas-rules,auto,5,0.8,0.447,0.8,0.447,0.8,0.447,8.032,0.42,24.48,54.739,0,0.0,,,26.88,1.41
audio_glass_break_01,mas-rules,dsp,3,0.0,0.0,0.0,0.0,0.0,0.0,,,133.1,0.265,0,0.0,,,27.067,0.058
audio_glass_break_01,mas-rules-visiononly,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,8.0,0.0
combined_audio_video_01,centralized,auto,5,0.6,0.418,0.4,0.224,0.467,0.274,11.307,8.199,72.28,70.674,0,0.0,,,39.52,15.556
combined_audio_video_01,centralized,dsp,3,0.083,0.144,0.167,0.289,0.111,0.192,14.16,,154.2,14.78,0,0.0,,,70.5,7.119
combined_audio_video_01,centralized-visiononly,auto,5,0.5,0.354,0.4,0.224,0.433,0.253,10.623,5.102,74.86,42.801,0,0.0,,,44.62,12.207
combined_audio_video_01,mas-auction,auto,5,0.1,0.224,0.1,0.224,0.1,0.224,23.71,,112.32,27.906,0,0.0,,,57.7,0.0
combined_audio_video_01,mas-auction,dsp,3,0.333,0.0,0.5,0.0,0.4,0.0,0.0,0.0,95.433,13.581,0,0.0,,,76.433,10.09
